;index;conta_bancaria;descricao;valor;conta_debito;conta_credito
56;666;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18879;174,31;;
57;667;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19431;133,75;;
58;668;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19432;69,24;;
59;669;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19433;34,62;;
60;670;004905;PAGTO DEBITO EM C/C - CORPO DE BOMBEIROS MILITAR D - DEB C/C- 149985-3;535,75;;
61;657;004905;PAGTO DEBITO EM C/C - MOTTA CIRURGIA E ANESTESIA L - DEB C/C- 154580-1;29727,03;;
62;642;004905;PAGTO DEBITO EM C/C - TABATA ROGERIA RAMOS FERREIR - DEB C/C- 154425-1;428,38;;
63;704;004905;TRANSF. C/C 004905 PARA 3040 BORD. 4045 - T-217758;150000,00;;
64;706;004905;TRANSF. C/C 004905 PARA 59082 BORD. 4049 - T-217762;5000,00;;
65;739;004905;REND.DIARIO - REND.DIARIO;216,61;;
66;740;004905;TRANSF. C/C 004905 PARA 031327 BORD. 4053 - T-217992;30000,00;;
67;741;004905;TRANSF. C/C 004905 PARA 13001343 BORD. 4055 - T-217994;10000,00;;
68;742;004905;TRANSF. C/C 004905 PARA 59082 BORD. 4057 - T-217996;200000,00;;
69;743;004905;TRF 9 TED - TRF 9 TED;32,76;;
70;744;004905;TRF PIX - TRF PIX;4,90;;
71;745;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 16563;386,28;;
72;746;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 16621;761,16;;
73;747;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18031;583,08;;
74;748;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18639;563,64;;
75;749;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18645;2351,76;;
76;750;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18939;466,46;;
77;751;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19459;103,29;;
78;738;004905;PIX THAINA  OLIVEIRA KNUPP (10/04) - PIX THAINA 19463;35,00;;
79;752;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19470;141,95;;
80;754;004905;CREDITO CONVENIO A IDENTIFICAR - BRADESC OP PL 19488;3348,03;;
81;755;004905;CREDITO CONVENIO A IDENTIFICAR - BRADESC SAU 19478;202260,76;;
